Positive	Negative	Text	Explanation
1	-1	The old core branches are now common branches.    	The old core branches are now common branches .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Moving branches to new location.    	Moving branches to new location .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Merged fixes from trunk, preparing for 0.2.1 release.   	Merged fixes from trunk ,preparing for 0 .[sentence: 1,-1] 2 .[sentence: 1,-1] 1 release .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Preparing to tag 0.1.0 release.   	Preparing to tag 0 .[sentence: 1,-1] 1 .[sentence: 1,-1] 0 release .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Adding branch for 0.2 releases.  2nd attempt.   	Adding branch for 0 .[sentence: 1,-1] 2 releases .[sentence: 1,-1] 2nd attempt .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Quote HADOOP_HOME so that it may contain spaces.    	Quote HADOOP _HOME so that it may contain spaces .[sentence: 1,-1]  [result: max + and - of any sentence]
2	-1	HADOOP-96.  Logging improvements.  Contributed by Hairong Kuang.   	HADOOP -96 .[sentence: 1,-1] Logging improvements[2].[sentence: 2,-1] Contributed by Hairong Kuang .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-2	HADOOP-198.  Add more example programs to example driver.  Also fix another WritableFactories-related error.  Contributed by Mahadev.   	HADOOP -198 .[sentence: 1,-1] Add more example programs to example driver .[sentence: 1,-1] Also fix another WritableFactories -related error[-2].[sentence: 1,-2] Contributed by Mahadev .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-2	HADOOP-182.  Fix problems related to lost task trackers.   	HADOOP -182 .[sentence: 1,-1] Fix problems[-2]related to lost task trackers .[sentence: 1,-2]  [result: max + and - of any sentence]
1	-1	HADOOP-193 & HADOOP-194.  A filesystem benchmark and a filesystem checker.  Contributed by Konstantin.   	HADOOP -193 &HADOOP -194 .[sentence: 1,-1] A filesystem benchmark and a filesystem checker .[sentence: 1,-1] Contributed by Konstantin .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	HADOOP-65.  Initial version of multi-language record system.  Contributed by Milind Bhandarkar.   	HADOOP -65 .[sentence: 1,-1] Initial version of multi -language record system .[sentence: 1,-1] Contributed by Milind Bhandarkar .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-2	Fix a problem introduced by the patch for HADOOP-184, where the 'package' target was broken.  Contributed by Mahadev.   	Fix a problem[-2]introduced by the patch for HADOOP -184 ,where the 'package 'target was broken[-2].[sentence: 1,-2] Contributed by Mahadev .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Better fix for HADOOP-189.  Tested in both distributed and standalone mode.  Note that WritableFactories is not quite functioning correctly and there are a few hacks around this that should be removed when that's better understood.   	Better fix for HADOOP -189 .[sentence: 1,-1] Tested in both distributed and standalone mode .[sentence: 1,-1] Note that WritableFactories is not quite functioning correctly and there are a few hacks around this that should be removed when that's better understood .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-2	Reverting change 399426, which broke distributed operation.   	Reverting[-2]change 399426 ,which broke[-2]distributed operation .[sentence: 1,-2]  [result: max + and - of any sentence]
1	-1	HADOOP-191.  Add streaming contrib package.  Contributed by Michel Tourn.   	HADOOP -191 .[sentence: 1,-1] Add streaming contrib package .[sentence: 1,-1] Contributed by Michel Tourn .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-3	HADOOP-192.  Fix a Java 1.4 incompatibility.  Contributed by David Bowen.   	HADOOP -192 .[sentence: 1,-1] Fix a Java 1 .[sentence: 1,-1] 4 incompatibility[-3].[sentence: 1,-3] Contributed by David Bowen .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	HADOOP-189.  Fix MapReduce in standalone configuration to correctly handle job jar files that contain a lib directory with nested jar files.   	HADOOP -189 .[sentence: 1,-1] Fix MapReduce in standalone configuration to correctly handle job jar files that contain a lib directory with nested jar files .[sentence: 1,-1]  [result: max + and - of any sentence]
2	-1	HADOOP-184.  Restructure some test code to better support testing on a cluster.  Contributed by Mahadev.   	HADOOP -184 .[sentence: 1,-1] Restructure some test code to better support[2]testing on a cluster .[sentence: 2,-1] Contributed by Mahadev .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Fix HADOOP-19.  If a child process hangs after it has reported completion its output should not be lost.   	Fix HADOOP -19 .[sentence: 1,-1] If a child process hangs after it has reported completion its output should not be lost .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	HADOOP-185.  Fix so that, if a task tracker times out making the RPC asking for a new task to run, the job tracker does not think that it is actually running the task returned (but never received).  Contributed by Owen.   	HADOOP -185 .[sentence: 1,-1] Fix so that ,if a task tracker times out making the RPC asking for a new task to run ,the job tracker does not think that it is actually running the task returned (but never received ).[sentence: 1,-1] Contributed by Owen .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	HADOOP-188.  More fixes to to JobClient, following on HADOOP-174.  Contributed by Owen.   	HADOOP -188 .[sentence: 1,-1] More fixes to to JobClient ,following on HADOOP -174 .[sentence: 1,-1] Contributed by Owen .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	HADOOP-187.  Add RandomWriter and Sort examples.  Contributed by Owen.   	HADOOP -187 .[sentence: 1,-1] Add RandomWriter and Sort examples .[sentence: 1,-1] Contributed by Owen .[sentence: 1,-1]  [result: max + and - of any sentence]
2	-2	HADOOP-186.  Better error handling in TaskTracker's top-level loop.  Also improve calculation of time to send next heartbeat.  Contributed by Owen O'Malley.   	HADOOP -186 .[sentence: 1,-1] Better error[-2]handling in TaskTracker's top -level loop .[sentence: 1,-2] Also improve[2]calculation of time to send next heartbeat .[sentence: 2,-1] Contributed by Owen O'Malley .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	HADOOP-183.  If the namendode is restarted with different minimum or maximum replication counts, existing files' replication counts are now automatically adjusted to be within the newly configured bounds.  Contributed by Hairong Kuang.   	HADOOP -183 .[sentence: 1,-1] If the namendode is restarted with different minimum or maximum replication counts ,existing files 'replication counts are now automatically adjusted to be within the newly configured bounds .[sentence: 1,-1] Contributed by Hairong Kuang .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-2	HADOOP-178.  Piggyback DFS blockwork requests on heartbeat responses, reducing traffic.  Also move blockwork delay on startup from datanode to namenode, fixing a problems when the namenode alone restarts.  Contributed by Hairong Kuang.   	HADOOP -178 .[sentence: 1,-1] Piggyback DFS blockwork[-2]requests on heartbeat responses ,reducing traffic .[sentence: 1,-2] Also move blockwork[-2]delay[-2]on startup from datanode to namenode ,fixing a problems[-2]when the namenode alone restarts .[sentence: 1,-2] Contributed by Hairong Kuang .[sentence: 1,-1]  [result: max + and - of any sentence]
